 01,"January 1, 2018","January 7, 2018"
 02,"January 8, 2018","January 14, 2018"
 03,"January 15, 2018","January 21, 2018"
 04,"January 22, 2018","January 28, 2018"
 05,"January 29, 2018","February 4, 2018"
 06,"February 5, 2018","February 11, 2018"
 07,"February 12, 2018","February 18, 2018"
 08,"February 19, 2018","February 25, 2018"
 09,"February 26, 2018","March 4, 2018"
 10,"March 5, 2018","March 11, 2018"
 11,"March 12, 2018","March 18, 2018"
 12,"March 19, 2018","March 25, 2018"
 13,"March 26, 2018","April 1, 2018"
 14,"April 2, 2018","April 8, 2018"
 15,"April 9, 2018","April 15, 2018"
 16,"April 16, 2018","April 22, 2018"
 17,"April 23, 2018","April 29, 2018"
 18,"April 30, 2018","May 6, 2018"
 19,"May 7, 2018","May 13, 2018"
 20,"May 14, 2018","May 20, 2018"
 21,"May 21, 2018","May 27, 2018"
 22,"May 28, 2018","June 3, 2018"
 23,"June 4, 2018","June 10, 2018"
 24,"June 11, 2018","June 17, 2018"
 25,"June 18, 2018","June 24, 2018"
 26,"June 25, 2018","July 1, 2018"
 27,"July 2, 2018","July 8, 2018"
 28,"July 9, 2018","July 15, 2018"
 29,"July 16, 2018","July 22, 2018"
 30,"July 23, 2018","July 29, 2018"
 31,"July 30, 2018","August 5, 2018"
 32,"August 6, 2018","August 12, 2018"
 33,"August 13, 2018","August 19, 2018"
 34,"August 20, 2018","August 26, 2018"
 35,"August 27, 2018","September 2, 2018"
 36,"September 3, 2018","September 9, 2018"
 37,"September 10, 2018","September 16, 2018"
 38,"September 17, 2018","September 23, 2018"
 39,"September 24, 2018","September 30, 2018"
 40,"October 1, 2018","October 7, 2018"
 41,"October 8, 2018","October 14, 2018"
 42,"October 15, 2018","October 21, 2018"
 43,"October 22, 2018","October 28, 2018"
 44,"October 29, 2018","November 4, 2018"
 45,"November 5, 2018","November 11, 2018"
 46,"November 12, 2018","November 18, 2018"
 47,"November 19, 2018","November 25, 2018"
 48,"November 26, 2018","December 2, 2018"
 49,"December 3, 2018","December 9, 2018"
 50,"December 10, 2018","December 16, 2018"
 51,"December 17, 2018","December 23, 2018"
 52,"December 24, 2018","December 30, 2018"
